date|description|amount
2025-10-01|Home EMI October|44250.00
2025-10-02|Grocery shopping weekly|2870.50
2025-10-03|Electricity bill Oct|1745.00
2025-10-04|Uber cab to client office|425.00
2025-10-05|Restaurant lunch team outing|2340.00
2025-10-06|Netflix subscription|649.00
2025-10-07|Pharmacy cold medicine|310.00
2025-10-08|Mobile recharge Jio|349.00
2025-10-09|Amazon laptop stand|1899.00
2025-10-10|School annual fees|18500.00
2025-10-11|Petrol scooter refill|780.00
2025-10-12|Water tanker delivery|550.00
2025-10-13|Swiggy dinner order|490.00
2025-10-14|Udemy python course|1499.00
2025-10-15|Parking mall charges|120.00
2025-10-16|Grocery fruits organic|1340.00
2025-10-17|Doctor eye checkup|1200.00
2025-10-18|Flipkart backpack|1350.00
2025-10-19|Metro card top up|400.00
2025-10-20|Internet broadband bill|1049.00
2025-10-21|Zomato lunch biryani|380.00
2025-10-22|Toll highway weekend trip|260.00
2025-10-23|Health insurance quarterly|8750.00
2025-10-24|Books fiction novels|520.00
2025-10-25|Hotstar annual plan|1499.00
2025-10-26|Cafe coffee meetup|275.00
2025-10-27|Diesel car refill|4100.00
2025-10-28|Gas pipeline bill|590.00
2025-10-29|Clothing festival shopping|3650.00
2025-10-30|Diwali gifts misc|4200.00
2025-10-31|Property tax instalment|5500.00
