date|description|amount
2025-12-01|Home EMI December|44250.00
2025-12-02|Grocery Christmas shopping|4520.00
2025-12-03|Electricity bill Dec|1890.00
2025-12-04|Uber pool office commute|290.00
2025-12-05|Restaurant Christmas dinner|4200.00
2025-12-06|Netflix plan upgrade|799.00
2025-12-07|Pharmacy winter vitamins|880.00
2025-12-08|Mobile recharge plan change|599.00
2025-12-09|Flipkart winter jacket|3199.00
2025-12-10|School winter camp fees|3500.00
2025-12-11|Diesel SUV refill|5800.00
2025-12-12|Water purifier service|1200.00
2025-12-13|Zomato party order|1850.00
2025-12-14|Books year end reading list|1120.00
2025-12-15|Parking airport long term|850.00
2025-12-16|Grocery holiday baking|2230.00
2025-12-17|Doctor annual health checkup|3500.00
2025-12-18|Amazon holiday gifts|6750.00
2025-12-19|Metro pass annual|4800.00
2025-12-20|Internet fibre upgrade|1599.00
2025-12-21|Cafe year end meetup|680.00
2025-12-22|Travel train tickets holiday|2350.00
2025-12-23|Insurance car renewal|12500.00
2025-12-24|Tuition extra classes|2800.00
2025-12-25|Game console subscription|3499.00
2025-12-26|Mall clothing year end sale|5200.00
2025-12-27|Toll expressway trip|340.00
2025-12-28|Gas cylinder refill|940.00
2025-12-29|Appliance mixer grinder|3200.00
2025-12-30|New year party supplies|2750.00
2025-12-31|Property tax final quarter|5500.00
