date|description|amount
2025-11-01|Rent apartment November|22500.00
2025-11-02|Grocery weekly essentials|3120.00
2025-11-03|Electricity bill Nov|2280.00
2025-11-04|Ola cab airport pickup|1450.00
2025-11-05|Dining restaurant anniversary|3800.00
2025-11-06|Spotify family plan|179.00
2025-11-07|Medicine blood pressure refill|640.00
2025-11-08|Phone recharge Airtel|499.00
2025-11-09|Amazon winter blanket|2750.00
2025-11-10|College lab fees|6200.00
2025-11-11|Fuel petrol car|3350.00
2025-11-12|Water bill monthly|720.00
2025-11-13|Bakery birthday cake|1100.00
2025-11-14|Training workshop data science|5500.00
2025-11-15|Bus pass renewal|450.00
2025-11-16|Home EMI November|44250.00
2025-11-17|Grocery dry fruits|1870.00
2025-11-18|Hospital blood tests|1650.00
2025-11-19|Electronics earphones|2199.00
2025-11-20|Broadband wifi upgrade|1299.00
2025-11-21|Food court lunch|360.00
2025-11-22|Taxi wedding venue|890.00
2025-11-23|Medical dental cleaning|2500.00
2025-11-24|Education app Byju renewal|4999.00
2025-11-25|Streaming prime video annual|1499.00
2025-11-26|Furniture desk lamp|750.00
2025-11-27|Toll weekend highway|180.00
2025-11-28|Gym membership fee|1800.00
2025-11-29|Charity temple donation|1100.00
2025-11-30|Shoes running Nike|4299.00
