date|description|amount
2026-02-01|Rent payment for apartment|22000.00
2026-02-02|Restaurant breakfast at cafe|280.00
2026-02-03|Electricity bill Feb|1950.00
2026-02-04|Ola cab to airport|1200.00
2026-02-05|Food delivery Swiggy|540.00
2026-02-06|Hotstar subscription|299.00
2026-02-07|Pharmacy medicines monthly|1150.00
2026-02-08|Phone recharge Jio|399.00
2026-02-09|Amazon grocery order|2800.00
2026-02-10|College semester books|3200.00
2026-02-11|Diesel refill truck|5500.00
2026-02-12|Water tanker delivery|600.00
2026-02-13|Bakery birthday cake order|850.00
2026-02-14|Training workshop fee|4500.00
2026-02-15|Metro card recharge|500.00
2026-02-16|Home EMI February|45000.00
2026-02-17|Grocery weekly essentials|1650.00
2026-02-18|Hospital lab tests|2200.00
2026-02-19|Clothing winter jacket|3400.00
2026-02-20|Electronics charger cable|450.00
2026-02-21|Broadband internet bill|1100.00
2026-02-22|Zomato dinner order|720.00
2026-02-23|Taxi to railway station|380.00
2026-02-24|Medical insurance co-pay|750.00
2026-02-25|Education app subscription|999.00
2026-02-26|Streaming service prime video|199.00
2026-02-27|Fuel petrol scooter|800.00
2026-02-28|Lease renewal processing fee|2500.00
