date|description|amount
2025-12-01|Lease renewal deposit|15055.00
2025-12-03|Grocery vegetables weekly|1683.50
2025-12-05|Electricity meter reading|2150.00
2025-12-06|Ola share daily commute|185.00
2025-12-07|Takeout pizza Friday|570.00
2025-12-09|Spotify student plan|59.00
2025-12-10|Clinic physiotherapy session|1800.00
2025-12-12|Recharge prepaid data|249.00
2025-12-13|Amazon USB hub|890.00
2025-12-14|Course Coursera ML|3299.00
2025-12-16|Petrol bike refill|620.00
2025-12-17|Water can delivery|140.00
2025-12-18|Swiggy breakfast order|230.00
2025-12-19|Concert tickets live show|2400.00
2025-12-20|Parking office monthly|1500.00
2025-12-22|Mortgage extra payment|10000.00
2025-12-23|Grocery snacks party|920.00
2025-12-24|Hospital emergency visit|4500.00
2025-12-25|Clothing warm socks|450.00
2025-12-26|Wifi router replacement|2100.00
2025-12-27|Lunch canteen office|310.00
2025-12-28|Bus intercity travel|750.00
2025-12-29|Insurance health top up|5250.00
2025-12-30|Education magazine sub|399.00
2025-12-31|Streaming Disney annual|1499.00
