date,description,amount
2026-01-01,Home EMI payment,45000.00
2026-01-02,Grocery shopping at BigBazaar,3200.50
2026-01-03,Electricity bill payment,2100.00
2026-01-04,Uber ride to office,350.00
2026-01-05,Restaurant dinner with family,1800.00
2026-01-06,Netflix subscription renewal,649.00
2026-01-07,Medicine from pharmacy,480.00
2026-01-08,Mobile recharge Airtel,599.00
2026-01-09,Amazon purchase electronics,4500.00
2026-01-10,School tuition fee,12000.00
2026-01-11,Petrol for car,3000.00
2026-01-12,Water bill quarterly,950.00
2026-01-13,Swiggy food order,620.00
2026-01-14,Udemy online course,1299.00
2026-01-15,Parking charges office,500.00
2026-01-15,Home EMI interest component,5200.00
2026-01-16,Grocery vegetables and fruits,880.00
2026-01-17,Doctor consultation fee,800.00
2026-01-18,Clothing purchase at mall,2600.00
2026-01-19,Flipkart shoes order,1999.00
2026-01-20,Internet broadband bill,1100.00
2026-01-21,Zomato lunch order,450.00
2026-01-22,Bus pass monthly,650.00
2026-01-23,Health insurance premium,3500.00
2026-01-24,Books for children,750.00
2026-01-25,Spotify premium subscription,119.00
2026-01-26,Dining cafe latte and snacks,320.00
2026-01-27,Toll highway charges,200.00
2026-01-28,Gas bill piped connection,650.00
2026-01-29,Furniture repair service,1500.00
2026-01-30,Property tax quarterly,5500.00
2026-01-31,Miscellaneous charity donation,2000.00
